title,year,genre,runtime,rating,synopsis,director,vote
The Art of Storytelling,(2019),"
Animation, Comedy            ",90 min,6.4,"
    A Production Designer (Smith) and his Assistant (Grazi) journey through the world of low budget film production. These two raconteurs imaginatively entertain themselves while attempting to ...                See full summary »
",Isaac Gabaeff,5
The Con-Test,(2019),"
Thriller            ",,5.0,"
    Five of the city's best con artists awake to an underground imprisonment. Informed by ""The Voice"" that they are trapped, they are forced to play a game of wits against each other. At each ...                See full synopsis »
",Matthew Garth II,9
Une manière de vivre,(2019),"
Drama            ",118 min,5.0,"
Add a Plot
",Micheline Lanctôt,5
"Koshmarnyy dyrector, abo shkolaN°5",(2019),"
Comedy            ",121 min,3.2,"
Add a Plot
",Mila Pogrebiskaya,5
Hellthy,(2019),"
Drama, Horror, Mystery            ",95 min,5.4,"
    A psychopath kidnaps addicts and forces them through torturous rehabilitation.",Stephen Willis,73
Bozkir,(2019),"
Drama            ",87 min,5.9,"
    Harun returns to his hometown to convince his father to move. The two encounter with the issues of the past.",Ali Özel,87
Desertor,(2019),"
Western            ",88 min,6.0,"
Add a Plot
",Pablo Brusa,10
The Lenin Factor,(2019),"
Biography, Drama, History            ",113 min,5.8,"
    Having dedicated his life to the preparation of the revolution in the Russian Empire, Vladimir Lenin, living in exile in Switzerland, desperately seeks a way back to Russia to take control.",Vladimir Khotinenko,13
Property Master,(2019),"
Thriller            ",80 min,3.4,"
    The film revolves around a man after his daughter was killed in a fake fire by someone trying to track down those involved to get from them one by one.",Ziyue Du,5
"The Badge, the Bible, and Bigfoot",(2019),"
Action            ",80 min,6.6,"
    In a small coastal town Bigfoot is sighted, and children go missing. The towns Police Chief is fired, leaving only the Sheriff. When the Sheriff goes missing, the towns only hope is in ...                See full summary »
",Ashley Hays Wright,5
Primal: Tales of Savagery,(2019),"
Animation, Action, Adventure            ",85 min,8.3,"
    GENNDY TARTAKOVSKY'S PRIMAL - TALES OF SAVAGERY features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",Genndy Tartakovsky,447
Dew,(2019),"
Drama, Romance            ",123 min,6.7,"
    Dew is about 2 friends who developed feelings for each other. But they lived in a time when homosexuality wasn't accepted.",Chookiat Sakveerakul,218
House of No Limits,(2019),"
Comedy, Horror            ",,8.0,"
Add a Plot
",David Cocheret,7
Pusaka,(2019),"
Horror            ",94 min,7.2,"
    Skilled cop Inspector Nuar discovers twins, Balqis and Qistina, mysteriously locked up in an abandoned house. He suddenly starts suffering a series of unexplained hauntings, and individuals...                See full summary »
",Razaisyam Rashid,91
XIII,(II) (2019),"
Comedy            ",90 min,5.2,"
Add a Plot
",Kelvin Boerma,26
Chaogtu with Sarula,(2019),"
Drama            ",110 min,5.8,"
Add a Plot
",Rui Wang,6
Parched 2: Hangry,(2019),"
Horror            ",90 min,7.4,"
    A social media influencer brings her friends to an Airbnb lake house to party. When an appetite stimulant is mistakenly dumped into the lake and the guests go for a dip, they emerge ravenous and insatiable.",Joe Leone,22
Seizure,(2019),"
Crime            ",45 min,5.7,"
    After losing a child Max tries to move on by joining violent crime unit. Partnered with Sander he investigates strange case of four young immigrants found in an empty swimming pool.",Rune Denstad Langlo,22
Meeku Maathrame Chepta,(2019),"
Comedy            ",120 min,6.2,"
    Rakesh, in an effort to woo his fiance, has promised her that he is a teetotaler. But when a compromising video of his leaks just two days before his wedding, all hell breaks loose.",Shammeer Sultan,295
What Lies West,(2019),"
Drama            ",79 min,6.6,"
    When new college graduate Nicolette takes a summer job babysitting the sheltered teen Chloe, the two must overcome a wide personality gap to take on a daring summer adventure that could fulfill both their biggest dreams.",Jessica Ellis,8
Insight of Evil 2: Vengeance,(2019),"
Horror            ",85 min,1.8,"
    Tanya returns to the scene of the crime to rid herself of nightmares of the horror that occurred three years earlier.",Nigel Hartwell,16
Abstinent,(2019),"
Drama            ",78 min,5.4,"
Add a Plot
",David Vigner,7
Love for Sale 2,(2019),"
Drama, Romance            ",92 min,7.0,"
    Tired of matchmaking by his mother, Ican brings a woman from a dating application and introduces her to Ros. Their family relations are warmed thanks to Arini and Ican starts to like her.",Andibachtiar Yusuf,324
The Missing,(2019),"
Adventure, Horror            ",65 min,4.1,"
    After his best friend Mikey goes missing, Karl goes on a search mission to find him in the supposed woodlands he was last seen in. During his search, things take an unexpected turn and Karl...                See full summary »
",Ranjeet S. Marwa,39
Now You See Me... - Part 2,(2019),"
Drama, Mystery            ",66 min,8.0,"
    Kelevra continues being the main attraction in Kesselring's fair, and making stronger their partnership, as well, the relation between him and Lindsey. Meanwhile, Bordem and Gretchen start planing something to finish the glory of Kelevra.",Nicolás de Jesús,5
Merhaba Güzel Vatanim,(2019),"
Biography, Drama            ",99 min,5.0,"
    ""Merhaba Güzel Vatanim - Hello, My Beautiful Homeland"", the script of which was written by Ahmet Ümit, tells the life story of the famous Turkish poet Nâzim Hikmet. At the same time, the ...                See full summary »
",Cengiz Özkarabekir,130
The Cabin House,(2019),"
Horror, Mystery, Thriller            ",120 min,5.6,"
    A group of college friends rent a cabin in a remote part of town for a weekend getaway. A weekend getaway that quickly turns from a weekend of fun to a weekend of pure terror.",Devon Loerop,7
Al-Shafaq - When heaven divides,(2019),"
Drama, War            ",98 min,7.9,"
    When heaven divides tells us an uncompromising story about loss, guilt, atonement and redemption.",Esen Isik,36
Robo,(I) (2019),"
Adventure, Family            ",90 min,5.2,"
    12-year-old Mitya Privalov dreams of becoming a superhero comics artist. But his robotics engineer parents want him to follow in their footsteps. Mitya never would have imagined that he'd ...                See full summary »
",Sarik Andreasyan,402
Paradise - Una nuova vita,(2019),"
Comedy            ",85 min,6.1,"
    Calogero is in the witness protection program after having witnessed a mafia murder in Sicily. With a new identity, he is sent to Sauris. However, he soon finds out the killer he had reported started a new life there too.",Davide Del Degan,9
Tyler,(2019),"
Comedy            ",,7.6,"
    Tyler is a hyper intelligent 9 year-old boy, who has no shame on being himself. On and ordinary lunch, he talks about his new crush, causing an unexpected reaction on his older brother, Daniel.",Joel Junior,25
"Mr. Hikita, I Am Knocked Up",(2019),"
Family            ",102 min,4.7,"
    A couple are perfectly happy to not breed and procreate. Thus their life is a content and unselfish one. He writes and admires his wife. However, she informs him that she wants a child. ...                See full summary »
",Tôru Hosokawa,16
Der letzte Bulle,(2019),"
Comedy, Crime            ",101 min,5.6,"
Add a Plot
",Peter Thorwarth,120
L'uomo del labirinto,(2019),"
Horror, Mystery, Thriller            ",130 min,5.5,"
    Samantha, a young kidnapped girl, resurfaces in shock after being imprisoned and hospitalized. Next to her is Dr. Green, a profiler who investigates victims' minds to find clues. Genko, a ...                See full summary »
",Donato Carrisi,965
Uncle,(2019),"
Drama            ",106 min,7.6,"
    Kris, living with her uncle since her teenage years, is starting to second guess her current life, at her disabled uncles farm. As love crosses her path, a possible life changing question emerges.",Frelle Petersen,202
Undtagelsen,(2019),"
Thriller            ",115 min,6.5,"
    Four women work together at a small NGO in Copenhagen that specialises in genocide. When two of them receive death threats, they suspect a Serbian war criminal; but then they start suspecting and turning against each other.",Jesper W. Nielsen,28
A Walk with Grace,(2019),"
Romance            ",100 min,5.5,"
    When his mother dies the week before Easter, widowed hotshot LA exec Nate Lassiter (David Lee Smith) and his head- strong Latina daughter Chloe (MIshka Calderon) must finally return to his ...                See full summary »
",Nick Kellis,74
Super Science Showcase,(2019),"
Family            ",68 min,9.4,"
    A collection of five science-rich stories featuring a wide collection of memorable characters. Adventures that make you smarter.",Lee Fanning,7
Doctor Sleep,(2019),"
Drama, Fantasy, Horror            ",152 min,7.4,"
    Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Mike Flanagan,105294
Day of the Stranger,(2019),"
Drama, Fantasy, Western            ",,5.0,"
    A surreal, funny and tensely dramatic Western that laments on the acid western of the 1970's.",Thomas Lee Rutter,32
My heart was killed by madness witch with big ass,(2019),"
Drama            ",81 min,9.3,"
Add a Plot
",Marco Romano,20
Piremardha nemimirand,(2019),"
Comedy, Drama            ",85 min,7.8,"
    100 years old Aslan, the head of a death squad in his youth, is living with his other single old fellows in a remote village in the northern-west of Iran. Since he came to the village 45 ...                See full summary »
",Reza Jamali,109
